Land,Klicks,Impressionen,CTR,Position
Deutschland,144,1726,8.34%,6.92
Kroatien,2,3,66.67%,4
Italien,1,17,5.88%,11.41
Österreich,1,13,7.69%,4.77
Schweiz,1,6,16.67%,6.67
Bosnien und Herzegowina,1,2,50%,1
Dänemark,1,1,100%,1
Frankreich,0,15,0%,13.6
Vereinigtes Königreich,0,9,0%,4.44
Spanien,0,9,0%,11.67
USA,0,7,0%,6.86
Niederlande,0,6,0%,8.67
Schweden,0,5,0%,8.8
Rumänien,0,3,0%,2.33
Polen,0,3,0%,3.33
Russland,0,3,0%,32.33
Indonesien,0,3,0%,36.33
Belgien,0,2,0%,3.5
Philippinen,0,2,0%,20.5
Ungarn,0,1,0%,1
Portugal,0,1,0%,2
Norwegen,0,1,0%,4
Israel,0,1,0%,6
Kap Verde,0,1,0%,8
Kolumbien,0,1,0%,21
Vietnam,0,1,0%,21
Taiwan,0,1,0%,50
